Record,Date,UTC Time,CV,PV,SP,D1,D2,D3
         1, 3/21/2013, 3:10:34,   5.000000E+01,   3.604304E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 3:10:35,   5.000000E+01,   3.602948E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 3:10:35,   5.000000E+01,   3.604756E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 3:10:35,   5.000000E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 3:10:35,   5.000000E+01,   3.604756E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 3:10:36,   5.000000E+01,   3.602948E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 3:10:36,   5.000000E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 3:10:36,   5.000000E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 3:10:36,   5.000000E+01,   3.602948E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 3:10:37,   5.000000E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 3:10:37,   5.000000E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 3:10:37,   5.000000E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 3:10:37,   3.663491E+01,   3.604304E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 3:10:38,   3.596624E+01,   3.604304E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 3:10:38,   4.218641E+01,   3.605209E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 3:10:38,   4.424540E+01,   3.604756E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 3:10:39,   4.717506E+01,   3.603852E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 3:10:39,   4.278463E+01,   3.603400E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        19, 3/21/2013, 3:10:39,   3.813251E+01,   3.603400E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        20, 3/21/2013, 3:10:39,   4.455951E+01,   3.602044E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        21, 3/21/2013, 3:10:40,   4.309991E+01,   3.601591E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        22, 3/21/2013, 3:10:40,   4.607604E+01,   3.601591E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        23, 3/21/2013, 3:10:40,   4.656391E+01,   3.598879E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        24, 3/21/2013, 3:10:40,   5.005901E+01,   3.598426E+01,   3.602000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        25, 3/21/2013, 3:10:41,   4.827774E+01,   3.596618E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        26, 3/21/2013, 3:10:41,   4.882021E+01,   3.594810E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        27, 3/21/2013, 3:10:41,   4.422630E+01,   3.592549E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        28, 3/21/2013, 3:10:41,   4.576534E+01,   3.592549E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        29, 3/21/2013, 3:10:42,   4.698559E+01,   3.592097E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        30, 3/21/2013, 3:10:42,   4.431609E+01,   3.589837E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        31, 3/21/2013, 3:10:42,   4.623720E+01,   3.588932E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        32, 3/21/2013, 3:10:42,   4.643370E+01,   3.587576E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        33, 3/21/2013, 3:10:43,   4.650432E+01,   3.587124E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        34, 3/21/2013, 3:10:43,   4.130847E+01,   3.588932E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        35, 3/21/2013, 3:10:43,   4.178704E+01,   3.587124E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        36, 3/21/2013, 3:10:43,   4.639055E+01,   3.587124E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        37, 3/21/2013, 3:10:44,   4.137780E+01,   3.588480E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        38, 3/21/2013, 3:10:44,   4.617231E+01,   3.588028E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        39, 3/21/2013, 3:10:44,   4.116148E+01,   3.590289E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        40, 3/21/2013, 3:10:44,   4.518398E+01,   3.591645E+01,   3.602000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
