Record,Date,UTC Time,CV,PV,SP,D1,D2,D3
         1, 3/21/2013, 3:05:29,   5.000000E+01,   3.556831E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 3:05:29,   5.000000E+01,   3.558640E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 3:05:29,   5.000000E+01,   3.557736E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 3:05:29,   5.000000E+01,   3.558640E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 3:05:30,   5.000000E+01,   3.556831E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 3:05:30,   5.000000E+01,   3.557736E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 3:05:30,   5.000000E+01,   3.558640E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 3:05:30,   5.000000E+01,   3.558188E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 3:05:31,   5.000000E+01,   3.557736E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 3:05:31,   5.000000E+01,   3.557736E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 3:05:31,   5.000000E+01,   3.558188E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 3:05:31,   5.000000E+01,   3.557283E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 3:05:32,   5.000000E+01,   3.557283E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 3:05:32,   5.000000E+01,   3.557736E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 3:05:32,   5.000000E+01,   3.557736E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 3:05:32,   5.000000E+01,   3.556379E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 3:05:33,   5.000000E+01,   3.557283E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 3:05:33,   5.000000E+01,   3.557283E+01,   3.560000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
