Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 2:23:05,   5.000000E+01,   3.563613E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 2:23:05,   5.000000E+01,   3.563613E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 2:23:06,   5.000000E+01,   3.564970E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 2:23:06,   5.000000E+01,   3.562709E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 2:23:06,   5.000000E+01,   3.562709E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 2:23:07,   5.000000E+01,   3.561805E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 2:23:07,   5.000000E+01,   3.563161E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 2:23:07,   5.000000E+01,   3.562709E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 2:23:07,   5.000000E+01,   3.561805E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 2:23:08,   5.000000E+01,   3.561353E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 2:23:08,   5.000000E+01,   3.561805E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 2:23:08,   5.000000E+01,   3.561353E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 2:23:08,   5.000000E+01,   3.562257E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 2:23:09,   5.000000E+01,   3.562257E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 2:23:09,   5.000000E+01,   3.561805E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 2:23:09,   5.000000E+01,   3.561353E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 2:23:09,   5.000000E+01,   3.559996E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 2:23:10,   5.000000E+01,   3.560448E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        19, 3/21/2013, 2:23:10,   5.000000E+01,   3.559996E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        20, 3/21/2013, 2:23:10,   5.000000E+01,   3.559544E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        21, 3/21/2013, 2:23:10,   5.000000E+01,   3.559092E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        22, 3/21/2013, 2:23:11,   5.000000E+01,   3.560448E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        23, 3/21/2013, 2:23:11,   5.000000E+01,   3.560448E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        24, 3/21/2013, 2:23:11,   5.000000E+01,   3.559092E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        25, 3/21/2013, 2:23:11,   5.000000E+01,   3.559996E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        26, 3/21/2013, 2:23:12,   5.000000E+01,   3.560901E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        27, 3/21/2013, 2:23:12,   5.000000E+01,   3.559996E+01,   3.565000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
