Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 2:29:05,   5.000000E+01,   3.707840E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 2:29:06,   5.000000E+01,   3.706936E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 2:29:06,   5.000000E+01,   3.708292E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 2:29:06,   5.000000E+01,   3.707388E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 2:29:06,   5.000000E+01,   3.707388E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 2:29:07,   5.000000E+01,   3.707388E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 2:29:07,   5.000000E+01,   3.705127E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 2:29:07,   5.000000E+01,   3.706483E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 2:29:07,   5.000000E+01,   3.706936E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 2:29:08,   5.000000E+01,   3.705579E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 2:29:08,   5.000000E+01,   3.705579E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 2:29:08,   5.000000E+01,   3.705579E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 2:29:08,   5.000000E+01,   3.705127E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 2:29:09,   5.000000E+01,   3.705579E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 2:29:09,   5.000000E+01,   3.705127E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 2:29:09,   5.000000E+01,   3.704223E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 2:29:10,   5.000000E+01,   3.705127E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 2:29:10,   5.000000E+01,   3.705579E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        19, 3/21/2013, 2:29:10,   5.001696E+01,   3.706031E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        20, 3/21/2013, 2:29:10,   5.123780E+01,   3.703770E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        21, 3/21/2013, 2:29:11,   5.025225E+01,   3.704675E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        22, 3/21/2013, 2:29:11,   4.980197E+01,   3.705127E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        23, 3/21/2013, 2:29:11,   5.058323E+01,   3.703318E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        24, 3/21/2013, 2:29:11,   5.194810E+01,   3.702866E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        25, 3/21/2013, 2:29:12,   5.065033E+01,   3.703770E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        26, 3/21/2013, 2:29:12,   5.024441E+01,   3.703770E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        27, 3/21/2013, 2:29:12,   5.001766E+01,   3.702866E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        28, 3/21/2013, 2:29:12,   5.118905E+01,   3.701962E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        29, 3/21/2013, 2:29:13,   5.108629E+01,   3.701510E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        30, 3/21/2013, 2:29:13,   5.089618E+01,   3.701962E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        31, 3/21/2013, 2:29:13,   5.121098E+01,   3.700606E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        32, 3/21/2013, 2:29:13,   5.151276E+01,   3.701058E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        33, 3/21/2013, 2:29:14,   5.140223E+01,   3.700606E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        34, 3/21/2013, 2:29:14,   5.149775E+01,   3.698797E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        35, 3/21/2013, 2:29:14,   5.132972E+01,   3.698797E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        36, 3/21/2013, 2:29:14,   5.141146E+01,   3.698345E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        37, 3/21/2013, 2:29:15,   5.122447E+01,   3.698797E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        38, 3/21/2013, 2:29:15,   5.203787E+01,   3.698797E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        39, 3/21/2013, 2:29:15,   5.064565E+01,   3.698345E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        40, 3/21/2013, 2:29:15,   5.173740E+01,   3.697441E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        41, 3/21/2013, 2:29:16,   5.197630E+01,   3.698345E+01,   3.715000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        42, 3/21/2013, 2:29:16,   5.145658E+01,   3.697893E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        43, 3/21/2013, 2:29:16,   1.000000E+02,   3.696989E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        44, 3/21/2013, 2:29:16,   1.000000E+02,   3.698345E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        45, 3/21/2013, 2:29:17,   1.000000E+02,   3.696989E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        46, 3/21/2013, 2:29:17,   1.000000E+02,   3.697441E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        47, 3/21/2013, 2:29:17,   1.000000E+02,   3.698345E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        48, 3/21/2013, 2:29:17,   1.000000E+02,   3.699250E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        49, 3/21/2013, 2:29:18,   1.000000E+02,   3.702414E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        50, 3/21/2013, 2:29:18,   1.000000E+02,   3.705127E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        51, 3/21/2013, 2:29:18,   1.000000E+02,   3.706936E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        52, 3/21/2013, 2:29:18,   1.000000E+02,   3.713718E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        53, 3/21/2013, 2:29:19,   1.000000E+02,   3.719143E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        54, 3/21/2013, 2:29:19,   1.000000E+02,   3.726377E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        55, 3/21/2013, 2:29:19,   1.000000E+02,   3.733611E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        56, 3/21/2013, 2:29:19,   1.000000E+02,   3.741749E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        57, 3/21/2013, 2:29:20,   1.000000E+02,   3.750339E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        58, 3/21/2013, 2:29:20,   1.000000E+02,   3.760286E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        59, 3/21/2013, 2:29:20,   1.000000E+02,   3.770232E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        60, 3/21/2013, 2:29:21,   1.000000E+02,   3.781987E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        61, 3/21/2013, 2:29:21,   1.000000E+02,   3.792838E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        62, 3/21/2013, 2:29:21,   1.000000E+02,   3.805046E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        63, 3/21/2013, 2:29:21,   1.000000E+02,   3.816801E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        64, 3/21/2013, 2:29:22,   1.000000E+02,   3.832173E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        65, 3/21/2013, 2:29:22,   1.000000E+02,   3.847997E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        66, 3/21/2013, 2:29:22,   1.000000E+02,   3.861109E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        67, 3/21/2013, 2:29:22,   1.000000E+02,   3.875576E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        68, 3/21/2013, 2:29:23,   1.000000E+02,   3.889140E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        69, 3/21/2013, 2:29:23,   1.000000E+02,   3.905869E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        70, 3/21/2013, 2:29:23,   1.000000E+02,   3.923049E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        71, 3/21/2013, 2:29:23,   1.000000E+02,   3.936613E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        72, 3/21/2013, 2:29:24,   1.000000E+02,   3.953341E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        73, 3/21/2013, 2:29:24,   1.000000E+02,   3.970974E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        74, 3/21/2013, 2:29:24,   1.000000E+02,   3.988155E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        75, 3/21/2013, 2:29:24,   1.000000E+02,   4.006691E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        76, 3/21/2013, 2:29:25,   1.000000E+02,   4.023872E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        77, 3/21/2013, 2:29:25,   1.000000E+02,   4.040148E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        78, 3/21/2013, 2:29:25,   1.000000E+02,   4.058685E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        79, 3/21/2013, 2:29:25,   1.000000E+02,   4.076318E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        80, 3/21/2013, 2:29:26,   1.000000E+02,   4.094403E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        81, 3/21/2013, 2:29:26,   1.000000E+02,   4.115200E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        82, 3/21/2013, 2:29:26,   1.000000E+02,   4.130120E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        83, 3/21/2013, 2:29:26,   1.000000E+02,   4.148205E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        84, 3/21/2013, 2:29:27,   1.000000E+02,   4.166290E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        85, 3/21/2013, 2:29:27,   1.000000E+02,   4.182114E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        86, 3/21/2013, 2:29:27,   1.000000E+02,   4.197939E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        87, 3/21/2013, 2:29:27,   1.000000E+02,   4.214667E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        88, 3/21/2013, 2:29:28,   1.000000E+02,   4.232300E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        89, 3/21/2013, 2:29:28,   1.000000E+02,   4.249480E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        90, 3/21/2013, 2:29:28,   1.000000E+02,   4.268921E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        91, 3/21/2013, 2:29:28,   1.000000E+02,   4.287458E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        92, 3/21/2013, 2:29:29,   1.000000E+02,   4.303283E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        93, 3/21/2013, 2:29:29,   1.000000E+02,   4.320011E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        94, 3/21/2013, 2:29:29,   1.000000E+02,   4.336287E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        95, 3/21/2013, 2:29:29,   1.000000E+02,   4.352563E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        96, 3/21/2013, 2:29:30,   1.000000E+02,   4.372005E+01,   5.000000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
