Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 2:38:32,   5.000000E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 2:38:32,   5.000000E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 2:38:33,   5.000000E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 2:38:33,   5.000000E+01,   3.646351E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 2:38:33,   5.000000E+01,   3.645899E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 2:38:33,   5.000000E+01,   3.646804E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 2:38:34,   5.000000E+01,   3.645899E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 2:38:34,   5.000000E+01,   3.646351E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 2:38:34,   5.000000E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 2:38:34,   4.999838E+01,   3.645899E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 2:38:35,   4.999677E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 2:38:35,   4.932793E+01,   3.645899E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 2:38:35,   5.022637E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 2:38:35,   5.043232E+01,   3.645899E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 2:38:36,   5.008591E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 2:38:36,   5.036416E+01,   3.646804E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 2:38:36,   4.974463E+01,   3.645899E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 2:38:36,   5.000883E+01,   3.645447E+01,   3.645000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        19, 3/21/2013, 2:38:37,   5.047869E+01,   3.644543E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        20, 3/21/2013, 2:38:37,   4.977575E+01,   3.644543E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        21, 3/21/2013, 2:38:37,   5.006186E+01,   3.644543E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        22, 3/21/2013, 2:38:38,   5.038201E+01,   3.644995E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        23, 3/21/2013, 2:38:38,   4.978578E+01,   3.644543E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        24, 3/21/2013, 2:38:38,   4.966006E+01,   3.645899E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        25, 3/21/2013, 2:38:38,   4.934803E+01,   3.646351E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        26, 3/21/2013, 2:38:39,   4.914941E+01,   3.649064E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        27, 3/21/2013, 2:38:39,   4.817623E+01,   3.650421E+01,   3.645000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
