Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 2:08:21,   5.000000E+01,   3.509811E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 2:08:22,   5.000000E+01,   3.509359E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 2:08:22,   5.000000E+01,   3.511620E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 2:08:22,   5.000000E+01,   3.511620E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 2:08:22,   5.000000E+01,   3.511168E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 2:08:23,   5.000000E+01,   3.512072E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 2:08:23,   5.000000E+01,   3.510715E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 2:08:23,   5.000000E+01,   3.511620E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 2:08:23,   5.000000E+01,   3.512072E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 2:08:24,   5.000000E+01,   3.511620E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 2:08:24,   5.000000E+01,   3.513428E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 2:08:24,   5.000000E+01,   3.513428E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 2:08:24,   5.000000E+01,   3.517949E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00,   0.000000E+00
