Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 2:02:38,   5.000000E+01,   3.327154E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 2:02:38,   5.000000E+01,   3.325346E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 2:02:39,   5.000000E+01,   3.324894E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 2:02:39,   5.000000E+01,   3.324894E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 2:02:39,   5.000000E+01,   3.324894E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
         6, 3/21/2013, 2:02:39,   5.000000E+01,   3.324442E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
         7, 3/21/2013, 2:02:40,   5.000000E+01,   3.324442E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
         8, 3/21/2013, 2:02:40,   5.000000E+01,   3.324442E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
         9, 3/21/2013, 2:02:40,   5.000000E+01,   3.324442E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        10, 3/21/2013, 2:02:40,   5.000000E+01,   3.324894E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        11, 3/21/2013, 2:02:41,   5.000000E+01,   3.324894E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        12, 3/21/2013, 2:02:41,   5.000000E+01,   3.325798E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        13, 3/21/2013, 2:02:41,   5.000000E+01,   3.326702E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        14, 3/21/2013, 2:02:41,   5.000000E+01,   3.328059E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        15, 3/21/2013, 2:02:42,   5.000000E+01,   3.328963E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        16, 3/21/2013, 2:02:42,   5.000000E+01,   3.330771E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        17, 3/21/2013, 2:02:42,   5.000000E+01,   3.332580E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        18, 3/21/2013, 2:02:43,   5.000000E+01,   3.336197E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        19, 3/21/2013, 2:02:43,   5.000000E+01,   3.338457E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        20, 3/21/2013, 2:02:43,   5.000000E+01,   3.340718E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
        21, 3/21/2013, 2:02:43,   5.000000E+01,   3.344335E+01,   0.000000E+00,   0.000000E+00,   1.000000E+00,   0.000000E+00
