Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 1:53:48,   5.000000E+01,   3.114658E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 1:53:48,   5.000000E+01,   3.115562E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 1:53:49,   5.000000E+01,   3.115562E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 1:53:49,   5.000000E+01,   3.114206E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 1:53:49,   5.000000E+01,   3.115110E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 1:53:49,   5.000000E+01,   3.113754E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 1:53:50,   5.000000E+01,   3.113754E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 1:53:50,   5.000000E+01,   3.113754E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 1:53:50,   5.000000E+01,   3.114206E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 1:53:50,   5.000000E+01,   3.113754E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 1:53:51,   5.000000E+01,   3.113301E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 1:53:51,   5.000000E+01,   3.112849E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 1:53:51,   5.000000E+01,   3.111945E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 1:53:51,   5.000000E+01,   3.111945E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 1:53:51,   5.000000E+01,   3.112397E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 1:53:52,   5.000000E+01,   3.111945E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 1:53:52,   5.000000E+01,   3.111041E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 1:53:52,   5.000000E+01,   3.111945E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,   0.000000E+00
